phenotype,Allelotype_pair,estimate_add1,se_add1,z_add1,p_add1,estimate_add2,se_add2,z_add2,p_add2,estimate_int,se_int,z_int,p_int,adj_p_add1,adj_p_add2,adj_p_int
HC151,DQB1_301-DQA1_103,-0.3994554,0.0569674,-7.012,2.35E-12,-0.5716759,0.1113366,-5.135,2.83E-07,0.2383756,0.2780306,0.857,0.3912,3.90E-11,8.56E-06,1
HC151,DQB1_301-C_304,-0.372417,0.058275,-6.391,1.65E-10,-0.378989,0.089062,-4.255,2.09E-05,0.006794,0.1897,0.036,0.971,2.48E-09,0.00038492,1
HC151,DQB1_301-DRB1_1301,-0.392608,0.05674,-6.919,4.53E-12,-0.556631,0.115398,-4.824,1.41E-06,0.241099,0.287054,0.84,0.401,7.41E-11,3.58E-05,1
HC151,DQB1_301-B_2705,-0.366318,0.057342,-6.388,1.68E-10,-0.606328,0.148159,-4.092,4.27E-05,0.259629,0.228942,1.134,0.257,2.52E-09,0.000726821,1
HC151,DQB1_301-DQB1_603,-0.39791,0.057127,-6.965,3.28E-12,-0.547098,0.115434,-4.739,2.14E-06,0.250101,0.287151,0.871,0.384,5.40E-11,5.14E-05,1
HC151,DQB1_301-C_102,-0.3630303,0.0568203,-6.389,1.67E-10,-0.570514,0.1536799,-3.712,0.000205,0.1241992,0.2600513,0.478,0.632938,2.51E-09,0.003018248,1
HC151,DQB1_301-DRB1_1303,-0.427254,0.0587999,-7.266,3.70E-13,1.7275573,0.5485011,3.15,0.00163,-0.6742034,0.5040876,-1.337,0.18107,6.34E-12,0.021316079,1
HC151,DQB1_301-DRB3_9901,-0.3813834,0.1210325,-3.151,0.00163,0.1222082,0.0466091,2.622,0.00874,0.0313995,0.0830423,0.378,0.70535,0.01729452,0.106438335,1
HC151,B_1801-A_301,0.5513478,0.0931773,5.917,3.27E-09,0.2896075,0.0504969,5.735,9.74E-09,-0.2489316,0.1744219,-1.427,0.1535,4.59E-08,4.05E-07,1
HC151,B_1801-DQB1_302,0.468221,0.0870243,5.38,7.43E-08,-0.3517161,0.0739814,-4.754,1.99E-06,-0.0992604,0.2425177,-0.409,0.6823,9.66E-07,4.83E-05,1
