GBE_ID	ALL_ID	BETA	SE	Z_STAT	P	AIC	BY_ADJ_P
HC608	DRB1_101	-0.317355769718753	0.0609422900741825	-5.207480213369879	1.91422242380652e-07	25649.966935778302	0.00028473667950762926
HC1211	DRB1_101	0.43288361770964295	0.0831483218793674	5.206161807302321	1.92786556822322e-07	8905.94320492054	0.00028647374924803615
HC91	C_102	0.498458102544038	0.0957801288616746	5.20419118733813	1.94843334325653e-07	14307.718066612	0.0002892352080325556
HC1159	B_1501	-0.173815470778879	0.0334129205345493	-5.20204364054773	1.97108923773228e-07	86509.3480433683	0.0002923007039671198
HC38	DQA1_102	-0.131650761629392	0.0253261530561267	-5.19821393077872	2.0121248195957301e-07	56517.5574204413	0.00029794966470789424
HC649	DQA1_102	-0.0695334815639536	0.0133766900904434	-5.19810813391199	2.01327007866905e-07	147416.92404778	0.00029794966470789424
HC219	A_2301	-0.22348579464571	0.0430476022066437	-5.191596818166519	2.0849811844245102e-07	149935.871030164	0.00030824945514857386
HC1024	DQB1_602	-0.159692808178772	0.030761829022509	-5.19126505975708	2.0887002727444602e-07	50849.278294058204	0.00030848642901640456
HC96	DQB1_602	-0.271460761018643	0.0523094959468295	-5.18951207816211	2.1084582827297002e-07	21688.4036672637	0.00031108936218042526
HC303	B_4403	0.290489460631164	0.0560012644918713	5.1871946690298305	2.1348553929224202e-07	27244.5903339009	0.00031466559735664185
HC1159	A_201	0.0843616873275776	0.0162642673512864	5.18693437001976	2.13784027707602e-07	86121.1255493819	0.000314787263943708
cancer1060	DQA1_301	-0.0675108188618132	0.0130205772005391	-5.18493288139469	2.1609267313738e-07	148085.023158609	0.00031786556308076335
HC1132	B_1501	-0.33812863347461497	0.0652645685899034	-5.1808912673472305	2.20828196026225e-07	32421.2635164071	0.00032450391815216917
HC990	B_702	0.0838374022256692	0.0161842101650131	5.180197326336519	2.2165130374359002e-07	121840.78107409901	0.0003253854537986642
HC1094	A_101	-0.0733178919419556	0.0141556037193044	-5.179425293035701	2.22570523233752e-07	123281.939338161	0.0003264061664507261
cancer1003	C_304	-0.0968368473908098	0.0187159865700947	-5.174017785711619	2.2911300077434603e-07	161559.92718993698	0.0003356632113120123
HC1021	A_2902	0.10247045122624401	0.0198115180846438	5.17226649610816	2.3127141786621299e-07	212183.59575783	0.0003384852255108206
HC303	C_1203	-0.6195564922496309	0.11985044012092401	-5.16941357599126	2.34829699234824e-07	27339.479218145	0.00034334834314757323
cancer1047	DQB1_201	0.20910608980967998	0.0404692369898235	5.16703811001581	2.3783278301253399e-07	25280.8412946995	0.00034704302646822497
HC273	B_702	-0.044748819839996	0.00866024226327081	-5.16715566142779	2.3768330491257801e-07	330576.59433559	0.00034704302646822497
HC1212	DRB1_1302	-0.270349147816794	0.0523279271258717	-5.16644099366837	2.38593478226234e-07	63595.9477687485	0.0003478048716777375
HC1183	DRB1_404	0.266991977204712	0.0516823631215951	5.166017207389481	2.3913478550844804e-07	42165.7554391191	0.0003482457058379056
HC1211	DQA1_501	-0.39333546798457203	0.07620451103766498	-5.1615772167367	2.44877843006864e-07	8932.27606158736	0.00035625327222242354
HC303	C_704	-0.9025360173294	0.17488983722452897	-5.16059727456144	2.4616321445157104e-07	27335.7469589881	0.0003577662046725155
HC1581	DPB1_301	-0.07866625886329401	0.0152479168785464	-5.15914793410085	2.48076242590741e-07	238302.68369590302	0.00036018743207286976
HC652	C_702	-0.0871485241392952	0.0169014819759862	-5.1562652472201504	2.5192396825075996e-07	116732.30226815301	0.00036541007655545554
HC1242	C_401	-0.44698755842512505	0.0867110077555505	-5.1549113543374006	2.53750940074478e-07	16754.098308339	0.00036769419341938186
HC1024	DRB1_1501	-0.156045095327171	0.0302768497505444	-5.153940935495269	2.55068311309311e-07	51175.7348194463	0.0003691368909918592
HC156	DQB1_602	-0.159020549480376	0.0308549783046559	-5.15380525989159	2.5525302038819997e-07	50746.703090427196	0.0003691368909918592
HC1024	DRB5_9901	0.15225658765426903	0.0295460151030574	5.15320211958172	2.56075702037667e-07	50795.173455070995	0.0003699595974657659
HC639	DRB1_1401	0.602254685110615	0.116935643649928	5.15030889053463	2.60057800440213e-07	15420.8972267858	0.00037534065164194727
HC136	DRB4_101	-0.27662429640386405	0.053725552392857	-5.14884043222313	2.62101731583005e-07	34332.8940321709	0.000377916476665508
HC55	DPA1_201	0.15629538675719698	0.0303784958739949	5.14493500288774	2.67613450504934e-07	41908.944674022	0.00038548236753775515
HC38	DRB1_1501	-0.147259684728948	0.0286280855690688	-5.1438886604438	2.6910906105239395e-07	56451.8929126059	0.00038725404967000304
HC868	DRB1_103	0.5321845707991091	0.103495984024839	5.14207943248684	2.7171418547351696e-07	22080.560612384503	0.00039061727844709655
HC1159	DRB1_404	-0.216556798459488	0.0421442722245144	-5.138463355253321	2.7699419475757696e-07	86376.7201238304	0.00039781551556027675
HC49	DPA1_201	0.0704449766485335	0.0137410771851482	5.126597842320019	2.95024767699691e-07	160267.411786485	0.0004232937553530439
HC1158	A_301	0.0595176594918124	0.0116104746251845	5.1262038300063395	2.95642533093751e-07	211595.85672343	0.0004237630192608578
HC1036	DRB5_101	-0.0530405625752669	0.010347766366945	-5.12579823455429	2.96279764156983e-07	264356.905010874	0.00042425923519436964
HC646	DRB1_103	0.711457292714465	0.139024639001043	5.11749066803277	3.09627376874314e-07	11006.1171297121	0.0004425030558346999
HC654	DQA1_501	0.18983432974604	0.0370947320656684	5.11755495119841	3.09521899428806e-07	23102.1416813129	0.0004425030558346999
HC303	B_2705	-0.49519207630082207	0.0968009532302965	-5.11557024777147	3.12794504797704e-07	27253.0429034687	0.00044659151258370035
HC55	B_3906	0.546183669316156	0.106808304030699	5.11368169612702	3.15939567217854e-07	41963.013791608304	0.0004506404953017836
cancer1041	DQB1_501	-0.223961469556641	0.0438006149373808	-5.11320377297959	3.1674029503459396e-07	30048.163588749503	0.00045134098842712053
